def,desc,class,moduleColor
K01280,tripeptidyl-peptidase II [EC:3.4.14.10],TPP2,brown
K01285,lysosomal Pro-X carboxypeptidase [EC:3.4.16.2],PRCP,blue
K01286,D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4],E3.4.16.4,grey
K01307,gamma-glutamyl hydrolase [EC:3.4.19.9],GGH,turquoise
K01322,prolyl oligopeptidase [EC:3.4.21.26],PREP,yellow
K01338,ATP-dependent Lon protease [EC:3.4.21.53],lon,turquoise
K01354,oligopeptidase B [EC:3.4.21.83],ptrB,yellow
K01362,NA,NA,blue
K01363,cathepsin B [EC:3.4.22.1],CTSB,blue
K01365,cathepsin L [EC:3.4.22.15],CTSL,blue
K01366,cathepsin H [EC:3.4.22.16],CTSH,turquoise
K01369,legumain [EC:3.4.22.34],LGMN,blue
K01373,cathepsin F [EC:3.4.22.41],CTSF,blue
K01374,cathepsin O [EC:3.4.22.42],CTSO,blue
K01376,NA,NA,blue
K01379,cathepsin D [EC:3.4.23.5],CTSD,blue
K01381,saccharopepsin [EC:3.4.23.25],E3.4.23.25,turquoise
K01386,NA,NA,turquoise
K01387,microbial collagenase [EC:3.4.24.3],colA,blue
K01404,leishmanolysin [EC:3.4.24.36],GP63,brown
K01406,serralysin [EC:3.4.24.40],E3.4.24.40,yellow
K01407,protease III [EC:3.4.24.55],ptr,turquoise
K01408,insulysin [EC:3.4.24.56],"IDE, ide",turquoise
K01412,mitochondrial-processing peptidase subunit alpha [EC:3.4.24.64],"PMPCA, MAS2",blue
K01414,oligopeptidase A [EC:3.4.24.70],prlC,turquoise
K01422,protease AXL1 [EC:3.4.24.-],AXL1,turquoise
K01424,L-asparaginase [EC:3.5.1.1],"E3.5.1.1, ansA, ansB",yellow
K01425,glutaminase [EC:3.5.1.2],"glsA, GLS",turquoise
K01426,amidase [EC:3.5.1.4],"E3.5.1.4, amiE",turquoise
K01427,urease [EC:3.5.1.5],URE,turquoise
K01437,aspartoacylase [EC:3.5.1.15],"ASPA, aspA",brown
K01442,choloylglycine hydrolase [EC:3.5.1.24],E3.5.1.24,blue
K01453,6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46],nylB,blue
K01455,formamidase [EC:3.5.1.49],E3.5.1.49,turquoise
K01456,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52],"E3.5.1.52, NGLY1, PNG1",yellow
K01474,N-methylhydantoinase B [EC:3.5.2.14],hyuB,yellow
K01477,allantoicase [EC:3.5.3.4],"alc, ALLC",brown
K01480,agmatinase [EC:3.5.3.11],speB,yellow
K01487,guanine deaminase [EC:3.5.4.3],"E3.5.4.3, guaD",turquoise
K01490,AMP deaminase [EC:3.5.4.6],AMPD,blue
K01491,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],folD,yellow
K01493,dCMP deaminase [EC:3.5.4.12],comEB,blue
K01495,GTP cyclohydrolase I [EC:3.5.4.16],"GCH1, folE",yellow
K01497,GTP cyclohydrolase II [EC:3.5.4.25],"ribA, RIB1",brown
K01507,inorganic pyrophosphatase [EC:3.6.1.1],ppa,blue
K01510,apyrase [EC:3.6.1.5],ENTPD1_3_8,blue
K01517,manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.13 3.6.1.16 3.6.1.53],ADPRM,yellow
K01520,dUTP pyrophosphatase [EC:3.6.1.23],"dut, DUT",turquoise
K01522,bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29],FHIT,yellow
K01527,nascent polypeptide-associated complex subunit beta,"EGD1, BTF3",blue
K01528,dynamin GTPase [EC:3.6.5.5],DNM,blue
K01529,NA,NA,turquoise
K01530,phospholipid-translocating ATPase [EC:3.6.3.1],E3.6.3.1,turquoise
K01533,Cu2+-exporting ATPase [EC:3.6.3.4],copB,turquoise
K01534,Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 3.6.3.5],zntA,blue
K01535,H+-transporting ATPase [EC:3.6.3.6],E3.6.3.6,turquoise
K01537,Ca2+-transporting ATPase [EC:3.6.3.8],E3.6.3.8,turquoise
K01539,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ATP1A,blue
K01552,NA,NA,blue
K01556,kynureninase [EC:3.7.1.3],"KYNU, kynU",brown
K01567,peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-],pdaA,blue
K01580,glutamate decarboxylase [EC:4.1.1.15],"E4.1.1.15, gadB, gadA, GAD",turquoise
K01581,ornithine decarboxylase [EC:4.1.1.17],"E4.1.1.17, ODC1, speC, speF",blue
K01586,diaminopimelate decarboxylase [EC:4.1.1.20],lysA,brown
K01588,5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],purE,turquoise
K01590,histidine decarboxylase [EC:4.1.1.22],"hdc, HDC",blue
K01599,uroporphyrinogen decarboxylase [EC:4.1.1.37],"hemE, UROD",brown
K01601,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],rbcL,turquoise
K01610,phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],"E4.1.1.49, pckA",turquoise
K01611,S-adenosylmethionine decarboxylase [EC:4.1.1.50],"speD, AMD1",blue
K01613,phosphatidylserine decarboxylase [EC:4.1.1.65],"psd, PISD",blue
K01618,NA,NA,blue
K01619,deoxyribose-phosphate aldolase [EC:4.1.2.4],"deoC, DERA",blue
K01621,xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22],"xfp, xpk",blue
K01623,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ALDO,turquoise
K01624,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","FBA, fbaA",blue
K01626,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],"E2.5.1.54, aroF, aroG, aroH",yellow
K01631,2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21],dgoA,turquoise
K01632,NA,NA,blue
K01636,NA,NA,blue
K01637,isocitrate lyase [EC:4.1.3.1],"E4.1.3.1, aceA",grey
K01638,malate synthase [EC:2.3.3.9],"E2.3.3.9, aceB, glcB",turquoise
K01641,hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10],E2.3.3.10,blue
K01647,citrate synthase [EC:2.3.3.1],"CS, gltA",turquoise
K01648,ATP citrate (pro-S)-lyase [EC:2.3.3.8],ACLY,turquoise
K01649,2-isopropylmalate synthase [EC:2.3.3.13],leuA,blue
K01654,N-acetylneuraminate synthase [EC:2.5.1.56],"E2.5.1.56, neuB",blue
K01659,2-methylcitrate synthase [EC:2.3.3.5],prpC,yellow
K01662,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],dxs,brown
K01669,deoxyribodipyrimidine photo-lyase [EC:4.1.99.3],phrB,turquoise
K01672,carbonic anhydrase [EC:4.2.1.1],E4.2.1.1,turquoise
K01673,carbonic anhydrase [EC:4.2.1.1],"cynT, can",blue
K01674,carbonic anhydrase [EC:4.2.1.1],cah,turquoise
K01676,"fumarate hydratase, class I [EC:4.2.1.2]","E4.2.1.2A, fumA, fumB",blue
K01679,"fumarate hydratase, class II [EC:4.2.1.2]","E4.2.1.2B, fumC",brown
K01681,aconitate hydratase [EC:4.2.1.3],"ACO, acnA",turquoise
K01682,aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],acnB,blue
K01689,enolase [EC:4.2.1.11],"ENO, eno",blue
K01692,enoyl-CoA hydratase [EC:4.2.1.17],"paaF, echA",blue
K01694,tryptophan synthase [EC:4.2.1.20],TRP,brown
K01696,tryptophan synthase beta chain [EC:4.2.1.20],trpB,turquoise
K01697,cystathionine beta-synthase [EC:4.2.1.22],"E4.2.1.22, CBS",yellow
K01710,"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]","E4.2.1.46, rfbB, rffG",blue
K01711,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]","gmd, GMDS",turquoise
K01714,4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],dapA,turquoise
K01719,uroporphyrinogen-III synthase [EC:4.2.1.75],"hemD, UROS",brown
K01733,threonine synthase [EC:4.2.3.1],thrC,turquoise
K01735,3-dehydroquinate synthase [EC:4.2.3.4],aroB,turquoise
K01736,chorismate synthase [EC:4.2.3.5],aroC,turquoise
K01738,cysteine synthase A [EC:2.5.1.47],cysK,brown
K01738||K01740,NA,NA,blue
K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],"E2.5.1.49, metY",turquoise
K01744,aspartate ammonia-lyase [EC:4.3.1.1],aspA,yellow
K01749,hydroxymethylbilane synthase [EC:2.5.1.61],"hemC, HMBS",brown
K01754,threonine dehydratase [EC:4.3.1.19],"E4.3.1.19, ilvA, tdcB",turquoise
K01755,argininosuccinate lyase [EC:4.3.2.1],"argH, ASL",turquoise
K01756,adenylosuccinate lyase [EC:4.3.2.2],"purB, ADSL",turquoise
K01760,cystathionine beta-lyase [EC:4.4.1.8],metC,turquoise
K01768,adenylate cyclase [EC:4.6.1.1],E4.6.1.1,blue
K01771,1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13],"E4.6.1.13, plc",blue
K01772,ferrochelatase [EC:4.99.1.1],"hemH, FECH",turquoise
K01780,NA,NA,blue
K01783,ribulose-phosphate 3-epimerase [EC:5.1.3.1],"rpe, RPE",turquoise
K01784,UDP-glucose 4-epimerase [EC:5.1.3.2],"galE, GALE",brown
K01792,glucose-6-phosphate 1-epimerase [EC:5.1.3.15],E5.1.3.15,turquoise
K01795,poly(beta-D-mannuronate) C5 epimerase [EC:5.1.3.-],algG,turquoise
K01796,alpha-methylacyl-CoA racemase [EC:5.1.99.4],"E5.1.99.4, AMACR, mcr",blue
K01800,maleylacetoacetate isomerase [EC:5.2.1.2],"maiA, GSTZ1",blue
K01802,peptidylprolyl isomerase [EC:5.2.1.8],E5.2.1.8,brown
K01803,triosephosphate isomerase (TIM) [EC:5.3.1.1],"TPI, tpiA",brown
K01805,xylose isomerase [EC:5.3.1.5],xylA,blue
K01811,alpha-D-xyloside xylohydrolase [EC:3.2.1.177],yicI,brown
K01823,isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2],"idi, IDI",turquoise
K01829,protein disulfide-isomerase [EC:5.3.4.1],E5.3.4.1,turquoise
K01830,prostaglandin-H2 D-isomerase [EC:5.3.99.2],"E5.3.99.2, PTGDS",turquoise
K01834,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","PGAM, gpmA",turquoise
K01835,phosphoglucomutase [EC:5.4.2.2],pgm,blue
K01836,phosphoacetylglucosamine mutase [EC:5.4.2.3],E5.4.2.3,brown
K01840,phosphomannomutase [EC:5.4.2.8],manB,turquoise
K01841,phosphoenolpyruvate phosphomutase [EC:5.4.2.9],pepM,yellow
K01845,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,turquoise
K01854,UDP-galactopyranose mutase [EC:5.4.99.9],glf,brown
K01858,myo-inositol-1-phosphate synthase [EC:5.5.1.4],"INO1, ISYNA1",turquoise
K01866,tyrosyl-tRNA synthetase [EC:6.1.1.1],"YARS, tyrS",brown
K01867,tryptophanyl-tRNA synthetase [EC:6.1.1.2],"WARS, trpS",blue
K01868,threonyl-tRNA synthetase [EC:6.1.1.3],"TARS, thrS",turquoise
K01869,leucyl-tRNA synthetase [EC:6.1.1.4],"LARS, leuS",blue
K01870,isoleucyl-tRNA synthetase [EC:6.1.1.5],"IARS, ileS",yellow
K01872,alanyl-tRNA synthetase [EC:6.1.1.7],"AARS, alaS",blue
K01873,valyl-tRNA synthetase [EC:6.1.1.9],"VARS, valS",blue
K01874,methionyl-tRNA synthetase [EC:6.1.1.10],"MARS, metG",yellow
K01875,seryl-tRNA synthetase [EC:6.1.1.11],"SARS, serS",brown
K01876,aspartyl-tRNA synthetase [EC:6.1.1.12],"DARS, aspS",blue
K01880,glycyl-tRNA synthetase [EC:6.1.1.14],"GARS, glyS1",yellow
K01881,prolyl-tRNA synthetase [EC:6.1.1.15],"PARS, proS",blue
K01883,cysteinyl-tRNA synthetase [EC:6.1.1.16],"CARS, cysS",yellow
K01885,glutamyl-tRNA synthetase [EC:6.1.1.17],"EARS, gltX",turquoise
K01886,glutaminyl-tRNA synthetase [EC:6.1.1.18],"QARS, glnS",turquoise
K01887,arginyl-tRNA synthetase [EC:6.1.1.19],"RARS, argS",yellow
K01889,phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20],"FARSA, pheS",turquoise
K01890,phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20],"FARSB, pheT",yellow
K01892,histidyl-tRNA synthetase [EC:6.1.1.21],"HARS, hisS",turquoise
K01893,asparaginyl-tRNA synthetase [EC:6.1.1.22],"NARS, asnS",turquoise
K01895,acetyl-CoA synthetase [EC:6.2.1.1],"ACSS, acs",turquoise
K01897,long-chain acyl-CoA synthetase [EC:6.2.1.3],"ACSL, fadD",blue
K01899,succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5],LSC1,turquoise
K01900,succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5],LSC2,blue
K01903,succinyl-CoA synthetase beta subunit [EC:6.2.1.5],sucC,turquoise
K01915,glutamine synthetase [EC:6.3.1.2],"glnA, GLUL",blue
K01918,pantoate--beta-alanine ligase [EC:6.3.2.1],panC,blue
K01920,glutathione synthase [EC:6.3.2.3],"gshB, GSS",blue
K01921,D-alanine-D-alanine ligase [EC:6.3.2.4],ddl,turquoise
K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],purC,turquoise
K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10],murF,brown
K01931,protein neuralized [EC:6.3.2.19],NEUR,brown
K01933,phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],purM,turquoise
K01937,CTP synthase [EC:6.3.4.2],"pyrG, CTPS",yellow
K01938,formate--tetrahydrofolate ligase [EC:6.3.4.3],fhs,turquoise
K01939,adenylosuccinate synthase [EC:6.3.4.4],"purA, ADSS",turquoise
K01940,argininosuccinate synthase [EC:6.3.4.5],"argG, ASS1",brown
K01945,phosphoribosylamine--glycine ligase [EC:6.3.4.13],purD,turquoise
K01950,NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1],"E6.3.5.1, NADSYN1, QNS1, nadE",turquoise
K01951,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],"guaA, GMPS",turquoise
K01952,phosphoribosylformylglycinamidine synthase [EC:6.3.5.3],"purL, PFAS",turquoise
K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],"asnB, ASNS",brown
K01954,carbamoyl-phosphate synthase [EC:6.3.5.5],K01954,blue
K01955,carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],"carB, CPA2",blue
K01958,pyruvate carboxylase [EC:6.4.1.1],"PC, pyc",turquoise
K01962,acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],accA,turquoise
K01968,3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4],E6.4.1.4A,turquoise
K01969,3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4],E6.4.1.4B,brown
K01971,bifunctional non-homologous end joining protein LigD [EC:6.5.1.1],ligD,blue
K01974,RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4],"RTCA, rtcA",blue
K01976,NA,NA,yellow
K01999,branched-chain amino acid transport system substrate-binding protein,livK,turquoise
K02002,glycine betaine/proline transport system substrate-binding protein,proX,brown
K02003,putative ABC transport system ATP-binding protein,ABC.CD.A,blue
K02006,cobalt/nickel transport system ATP-binding protein,cbiO,brown
K02013,iron complex transport system ATP-binding protein [EC:3.6.3.34],ABC.FEV.A,blue
K02016,iron complex transport system substrate-binding protein,ABC.FEV.S,turquoise
K02021,putative ABC transport system ATP-binding protein,ABC.MR,turquoise
K02027,multiple sugar transport system substrate-binding protein,ABC.MS.S,turquoise
K02035,peptide/nickel transport system substrate-binding protein,ABC.PE.S,turquoise
K02049,NitT/TauT family transport system ATP-binding protein,ABC.SN.A,blue
K02051,NitT/TauT family transport system substrate-binding protein,ABC.SN.S,brown
K02058,simple sugar transport system substrate-binding protein,ABC.SS.S,brown
K02077,zinc/manganese transport system substrate-binding protein,ABC.ZM.S,turquoise
K02087,cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23],"CDK1, CDC2",blue
K02090,cyclin-dependent kinase 5 [EC:2.7.11.22],CDK5,yellow
K02115,F-type H+-transporting ATPase subunit gamma,"ATPF1G, atpG",brown
K02144,V-type H+-transporting ATPase subunit H,ATPeV1H,turquoise
K02145,V-type H+-transporting ATPase subunit A [EC:3.6.3.14],"ATPeV1A, ATP6A",turquoise
K02146,V-type H+-transporting ATPase subunit d,"ATPeV0D, ATP6D",turquoise
K02147,V-type H+-transporting ATPase subunit B,"ATPeV1B, ATP6B",turquoise
K02149,V-type H+-transporting ATPase subunit D,"ATPeV1D, ATP6M",turquoise
K02150,V-type H+-transporting ATPase subunit E,"ATPeV1E, ATP6E",turquoise
K02151,V-type H+-transporting ATPase subunit F,"ATPeV1F, ATP6S14",turquoise
K02152,V-type H+-transporting ATPase subunit G,"ATPeV1G, ATP6G",brown
K02154,V-type H+-transporting ATPase subunit a,"ATPeV0A, ATP6N",turquoise
K02155,V-type H+-transporting ATPase 16kDa proteolipid subunit,"ATPeV0C, ATP6L",turquoise
K02156,aubergine,"AUB, PIWI",brown
K02183,calmodulin,CALM,turquoise
K02202,cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23],CDK7,brown
K02203,phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39],thrH,brown
K02206,cyclin-dependent kinase 2 [EC:2.7.11.22],CDK2,turquoise
K02209,DNA replication licensing factor MCM5 [EC:3.6.4.12],"MCM5, CDC46",blue
K02210,DNA replication licensing factor MCM7 [EC:3.6.4.12],"MCM7, CDC47",blue
K02212,DNA replication licensing factor MCM4 [EC:3.6.4.12],"MCM4, CDC54",blue
K02218,casein kinase 1 [EC:2.7.11.1],"CSNK1, CK1",blue
K02219,cyclin-dependent kinase regulatory subunit CKS1,CKS1,turquoise
K02220,G2/mitotic-specific cyclin 1/2,CLB1_2,turquoise
K02226,alpha-ribazole phosphatase [EC:3.1.3.73],"cobC2, cobC, phpB",yellow
K02234,cobalamin biosynthesis protein CobW,cobW,turquoise
K02256,cytochrome c oxidase subunit 1 [EC:1.9.3.1],COX1,turquoise
K02265,cytochrome c oxidase subunit 5b,COX5B,turquoise
K02267,cytochrome c oxidase subunit 6b,COX6B,turquoise
K02293,15-cis-phytoene desaturase [EC:1.3.5.5],"PDS, crtP",brown
K02295,cryptochrome,CRY,brown
K02320,DNA polymerase alpha subunit A [EC:2.7.7.7],POLA1,blue
K02321,DNA polymerase alpha subunit B,POLA2,brown
K02324,DNA polymerase epsilon subunit 1 [EC:2.7.7.7],POLE1,brown
K02327,DNA polymerase delta subunit 1 [EC:2.7.7.7],POLD1,blue
K02328,DNA polymerase delta subunit 2,POLD2,turquoise
K02335,DNA polymerase I [EC:2.7.7.7],"DPO1, polA",blue
K02342,DNA polymerase III subunit epsilon [EC:2.7.7.7],"DPO3E, dnaQ",turquoise
K02349,DNA polymerase theta [EC:2.7.7.7],POLQ,turquoise
K02355,elongation factor G,"fusA, GFM, EFG",turquoise
K02359,egghead protein (zeste-white 4 protein),EGH,blue
K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],fabK,yellow
K02377,GDP-L-fucose synthase [EC:1.1.1.271],"TSTA3, fcl",blue
K02412,flagellum-specific ATP synthase [EC:3.6.3.14],fliI,turquoise
K02429,"MFS transporter, FHS family, L-fucose permease",fucP,blue
K02431,L-fucose mutarotase [EC:5.1.3.29],"fucU, FUOM",blue
K02437,glycine cleavage system H protein,"gcvH, GCSH",turquoise
K02438,glycogen operon protein [EC:3.2.1.-],"treX, glgX",turquoise
K02440,glycerol uptake facilitator protein,GLPF,turquoise
K02453,general secretion pathway protein D,gspD,blue
K02469,DNA gyrase subunit A [EC:5.99.1.3],gyrA,turquoise
K02471,putative ATP-binding cassette transporter,yddA,turquoise
K02472,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336],wecC,brown
K02492,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,blue
K02510,4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52],"hpaI, hpcH",blue
K02516,protein arginine N-methyltransferase 5 [EC:2.1.1.125],"PRMT5, HSL7",yellow
K02519,translation initiation factor IF-2,"infB, MTIF2",brown
K02522,NA,NA,brown
K02540,DNA replication licensing factor MCM2 [EC:3.6.4.12],MCM2,blue
K02541,DNA replication licensing factor MCM3 [EC:3.6.4.12],MCM3,grey
K02542,DNA replication licensing factor MCM6 [EC:3.6.4.12],MCM6,blue
K02557,chemotaxis protein MotB,motB,blue
K02564,glucosamine-6-phosphate deaminase [EC:3.5.99.6],"nagB, GNPDA",blue
K02575,"MFS transporter, NNP family, nitrate/nitrite transporter","NRT, narK, nrtP, nasA",turquoise
K02599,Notch,NOTCH,turquoise
K02600,N utilization substance protein A,nusA,yellow
K02603,origin recognition complex subunit 1,ORC1,brown
K02606,origin recognition complex subunit 4,ORC4,turquoise
K02636,cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1],petC,turquoise
K02638,plastocyanin,petE,brown
K02641,ferredoxin--NADP+ reductase [EC:1.18.1.2],petH,turquoise
K02674,type IV pilus assembly protein PilY1,pilY1,turquoise
K02684,DNA primase small subunit [EC:2.7.7.-],PRI1,turquoise
K02690,photosystem I P700 chlorophyll a apoprotein A2,psaB,turquoise
K02716,photosystem II oxygen-evolving enhancer protein 1,psbO,turquoise
K02719,photosystem II PsbU protein,psbU,turquoise
K02725,20S proteasome subunit alpha 6 [EC:3.4.25.1],PSMA1,blue
K02726,20S proteasome subunit alpha 2 [EC:3.4.25.1],PSMA2,brown
K02727,20S proteasome subunit alpha 7 [EC:3.4.25.1],PSMA3,brown
K02729,20S proteasome subunit alpha 5 [EC:3.4.25.1],PSMA5,turquoise
K02730,20S proteasome subunit alpha 1 [EC:3.4.25.1],PSMA6,brown
K02731,20S proteasome subunit alpha 4 [EC:3.4.25.1],PSMA7,turquoise
K02732,20S proteasome subunit beta 6 [EC:3.4.25.1],PSMB1,blue
K02734,20S proteasome subunit beta 4 [EC:3.4.25.1],PSMB2,grey
K02735,20S proteasome subunit beta 3 [EC:3.4.25.1],PSMB3,blue
K02736,20S proteasome subunit beta 7 [EC:3.4.25.1],PSMB4,blue
K02737,20S proteasome subunit beta 5 [EC:3.4.25.1],PSMB5,turquoise
K02738,20S proteasome subunit beta 1 [EC:3.4.25.1],PSMB6,yellow
K02739,20S proteasome subunit beta 2 [EC:3.4.25.1],PSMB7,blue
K02831,ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-],RAD53,brown
K02857,rhomboid-related protein 1/2/3 [EC:3.4.21.105],RHBDL1_2_3,turquoise
K02999,DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6],"RPA1, POLR1A",blue
K03006,DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6],"RPB1, POLR2A",brown
K03007,"DNA-directed RNA polymerases I, II, and III subunit RPABC5","RPB10, POLR2L",blue
K03010,DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6],"RPB2, POLR2B",brown
K03011,DNA-directed RNA polymerase II subunit RPB3,"RPB3, POLR2C",yellow
K03013,"DNA-directed RNA polymerases I, II, and III subunit RPABC1","RPB5, POLR2E",turquoise
K03016,"DNA-directed RNA polymerases I, II, and III subunit RPABC3","RPB8, POLR2H",yellow
K03018,DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6],"RPC1, POLR3A",yellow
K03019,DNA-directed RNA polymerase III subunit RPC11,"RPC11, POLR3K",yellow
K03022,DNA-directed RNA polymerase III subunit RPC8,"RPC8, POLR3H",brown
K03028,26S proteasome regulatory subunit N1,"PSMD2, RPN1",blue
K03030,26S proteasome regulatory subunit N11,"PSMD14, RPN11, POH1",blue
K03031,26S proteasome regulatory subunit N12,"PSMD8, RPN12",yellow
K03032,26S proteasome regulatory subunit N2,"PSMD1, RPN2",grey
K03033,26S proteasome regulatory subunit N3,"PSMD3, RPN3",blue
K03035,26S proteasome regulatory subunit N5,"PSMD12, RPN5",blue
K03036,26S proteasome regulatory subunit N6,"PSMD11, RPN6",turquoise
K03037,26S proteasome regulatory subunit N7,"PSMD6, RPN7",blue
K03038,26S proteasome regulatory subunit N8,"PSMD7, RPN8",turquoise
K03039,26S proteasome regulatory subunit N9,"PSMD13, RPN9",blue
K03061,26S proteasome regulatory subunit T1,"PSMC2, RPT1",blue
K03068,low density lipoprotein receptor-related protein 5/6,LRP5_6,brown
K03083,glycogen synthase kinase 3 beta [EC:2.7.11.26],GSK3B,blue
K03094,S-phase kinase-associated protein 1,"SKP1, CBF3D",blue
K03098,apolipoprotein D and lipocalin family protein,APOD,turquoise
K03102,squid,SQD,brown
K03104,signal recognition particle subunit SRP14,SRP14,blue
K03105,signal recognition particle subunit SRP19,SRP19,yellow
K03106,signal recognition particle subunit SRP54,"SRP54, ffh",turquoise
K03113,translation initiation factor 1,"EIF1, SUI1",blue
K03119,taurine dioxygenase [EC:1.14.11.17],tauD,yellow
K03163,DNA topoisomerase I [EC:5.99.1.2],TOP1,yellow
K03164,DNA topoisomerase II [EC:5.99.1.3],TOP2,blue
K03165,DNA topoisomerase III [EC:5.99.1.2],TOP3,brown
K03168,DNA topoisomerase I [EC:5.99.1.2],topA,blue
K03169,DNA topoisomerase III [EC:5.99.1.2],topB,turquoise
K03178,ubiquitin-activating enzyme E1 [EC:6.3.2.19],"UBE1, UBA1",brown
K03231,elongation factor 1-alpha,EEF1A,turquoise
K03232,elongation factor 1-beta,EEF1B,yellow
K03233,elongation factor 1-gamma,EEF1G,turquoise
K03234,elongation factor 2,EEF2,blue
K03235,elongation factor 3,"EF3, TEF3",turquoise
K03236,translation initiation factor 1A,EIF1A,blue
K03237,translation initiation factor 2 subunit 1,EIF2S1,blue
K03242,translation initiation factor 2 subunit 3,EIF2S3,turquoise
K03243,translation initiation factor 5B,EIF5B,brown
K03248,translation initiation factor 3 subunit G,EIF3G,blue
K03249,translation initiation factor 3 subunit F,EIF3F,blue
K03250,translation initiation factor 3 subunit E,"EIF3E, INT6",turquoise
K03251,translation initiation factor 3 subunit D,EIF3D,blue
K03252,translation initiation factor 3 subunit C,EIF3C,turquoise
K03253,translation initiation factor 3 subunit B,EIF3B,yellow
K03254,translation initiation factor 3 subunit A,EIF3A,blue
K03257,translation initiation factor 4A,EIF4A,blue
K03259,translation initiation factor 4E,EIF4E,turquoise
K03260,translation initiation factor 4G,EIF4G,yellow
K03262,translation initiation factor 5,EIF5,turquoise
K03263,translation initiation factor 5A,EIF5A,blue
K03265,peptide chain release factor subunit 1,"ETF1, ERF1",blue
K03267,peptide chain release factor subunit 3,"ERF3, GSPT",yellow
K03281,"chloride channel protein, CIC family",TC.CIC,blue
K03283,heat shock 70kDa protein 1/8,HSPA1_8,blue
K03284,magnesium transporter,corA,brown
K03292,"glycoside/pentoside/hexuronide:cation symporter, GPH family",TC.GPH,blue
K03294,"basic amino acid/polyamine antiporter, APA family",TC.APA,turquoise
K03295,NA,NA,turquoise
K03301,"ATP:ADP antiporter, AAA family",TC.AAA,turquoise
K03305,"proton-dependent oligopeptide transporter, POT family",TC.POT,yellow
K03306,"inorganic phosphate transporter, PiT family",TC.PIT,blue
