,St.1_50m,St.1_90m,St.3_40m,St.3_60m,St.3_80m,St.5_20m,St.5_50m,St. 5_80m,St.6_40m,St.6_80m,St.8_40m,St.8_70m,St.9_40m,St.9_70m,St.12_40m
K01580_glutamate decarboxylase [EC:4.1.1.15],19.15347139,53.48228629,63.56863658,48.29775432,53.33201192,61.05154377,75.90891773,78.98060713,61.30605472,42.70980403,44.99219739,54.78322855,56.27755722,16.06317451,27.32430261
K01581_ornithine decarboxylase [EC:4.1.1.17],0,0,0,0,0,0,0,0,0,0,0,0,0,0.87674578,0
K01586_diaminopimelate decarboxylase [EC:4.1.1.20],6.015148885,0.413504737,1.725982629,3.376433816,1.457652936,7.084671154,7.416455527,10.47282166,14.02476463,11.1750452,19.47143213,8.612479683,9.170941951,3.057617266,0
K01588_5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],337.0801564,583.5511554,450.130647,540.3431235,441.8563812,277.8188141,454.4889876,421.4253142,355.1776448,586.7791458,351.9024691,395.0116462,364.1721237,361.4024083,463.5921956
K01590_histidine decarboxylase [EC:4.1.1.22],3.282115408,5.23563393,4.502098284,0.967565327,7.918985894,1.590891603,3.778395675,0,8.516557654,3.643845973,0,2.121867275,2.626642006,6.883962145,16.39049045
K01599_uroporphyrinogen decarboxylase [EC:4.1.1.37],0,0,0,0,2.31030511,3.703491652,2.865435907,0,0,3.269762231,2.613524848,2.421396543,8.992280455,10.42897603,0
K01601_ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],287.912283,163.4748888,171.6253519,255.0528725,122.2964186,118.3296675,255.1092467,140.2974536,87.89751738,95.29781327,81.45432753,86.44824571,116.6270089,47.55824102,190.36895
K01610_phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],128.7307398,135.0920688,110.9785227,135.4110889,99.55668861,103.5954597,128.7310461,117.3320395,103.9153225,107.5103675,103.7104615,93.82376141,111.2796576,57.73806742,131.7839606
K01611_S-adenosylmethionine decarboxylase [EC:4.1.1.50],10.44103905,16.73315837,2.116507992,2.169448678,3.069905426,2.478292644,0.457239318,3.478264858,4.806448477,0,3.831456521,0,6.188927471,11.01840316,3.233821104
K01613_phosphatidylserine decarboxylase [EC:4.1.1.65],11.36248282,17.88238313,5.572762285,6.705112233,1.286164355,3.138127709,7.13349086,2.588541956,2.780187773,0.346724077,0.969979387,1.348009798,0.556230072,18.95768677,8.608459268
K01619_deoxyribose-phosphate aldolase [EC:4.1.2.4],14.97606715,20.31730613,9.143908624,10.9723085,7.96694898,13.11513482,5.264577112,12.62451053,15.78709116,4.764863887,2.598862423,10.08884212,4.987156424,15.60425827,17.55383095
K01621_xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22],83.38549787,30.12478228,72.51623801,36.79516909,24.93724153,18.89043844,43.9683453,35.23298332,7.489477379,22.09586874,9.136445285,11.75017877,18.24649585,65.87530832,44.54416988
"K01623_fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",351.740732,379.3920789,294.5594302,305.5501188,246.6612705,396.2718533,335.8990766,318.2069181,399.2314429,358.0168406,336.1904729,380.6315766,274.5645463,171.0381006,419.5574285
"K01624_fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",248.1478088,255.0673911,173.0439093,178.5035241,98.62407745,116.7204229,115.0656864,125.727565,116.9723313,87.56135446,73.10172953,114.9764587,78.36911884,133.871703,216.6754118
K01626_3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],46.2359641,101.0081801,67.37112341,46.49344043,18.57837828,26.02587336,50.27452358,11.64385151,29.84710088,9.049353917,18.2836605,27.88062559,32.08400367,24.92775436,62.9394506
K01631_2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21],9.02622896,0,19.0472359,2.668178932,10.05766417,3.534235232,2.734480186,0.576215153,5.614984959,6.741583268,0,2.328607325,12.97153714,2.507333013,5.225488943
K01637_isocitrate lyase [EC:4.1.3.1],189.7260359,236.969956,198.7920375,213.2662127,193.2700889,93.31828299,140.306659,150.1224866,111.3255967,149.1824634,102.6756402,149.0918122,95.68220145,202.4688791,250.3048343
K01638_malate synthase [EC:2.3.3.9],11.3802338,30.20829015,21.38471043,27.0806307,13.40818336,21.90651639,24.73076858,9.756952626,17.01570755,24.3515869,14.6052985,22.75916231,28.2512395,24.04384506,15.72412271
K01641_hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10],3.154257055,2.616827548,0,0.701085563,0,0,0,2.760426025,0,0,0.398273031,1.383730301,0.570969444,0,0.695369872
K01647_citrate synthase [EC:2.3.3.1],69.46082878,93.40782951,88.54522653,59.05502645,48.46134287,45.73848975,74.00502275,60.29454423,85.79797763,50.57331155,51.33467963,73.61836744,52.96791863,67.15889968,52.85173121
K01648_ATP citrate (pro-S)-lyase [EC:2.3.3.8],817.1664401,798.9167783,985.3990071,980.202934,796.2481847,952.7484114,1091.864473,989.9878643,931.1082878,997.0120168,970.0382339,1009.400389,1009.422094,840.9567455,767.4204552
K01649_2-isopropylmalate synthase [EC:2.3.3.13],1.206964718,0.937290839,0.750615408,1.734442735,0,9.335415145,1.173020216,1.664319648,3.119559234,6.574642501,5.547620938,4.178522547,5.172558612,5.190799718,3.19296831
K01654_N-acetylneuraminate synthase [EC:2.5.1.56],119.4585526,140.3752071,109.7390812,118.1418198,96.86493953,93.46415513,70.87819538,104.4932338,106.5093604,151.6224792,88.09866276,76.40083158,80.87007473,79.62177617,102.6109513
K01659_2-methylcitrate synthase [EC:2.3.3.5],0,5.06043096,1.408160559,3.253828559,2.0424774,0,0,1.067624447,0.859210776,0,1.848436526,0,1.324971431,5.762482344,0
K01662_1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],5.692403932,18.09216399,13.23984518,10.54458237,31.03871667,37.15097208,43.51013131,31.2147695,49.35754957,58.28909211,26.77494881,51.65847993,78.2575294,2.808971041,5.670242045
K01669_deoxyribodipyrimidine photo-lyase [EC:4.1.99.3],21.97471547,9.420357118,22.74513779,26.65281912,15.98434012,20.73688358,33.12685374,37.0106158,42.17216964,34.69953665,38.20857628,14.33201941,37.77461146,12.07517628,22.65271536
K01672_carbonic anhydrase [EC:4.2.1.1],2.15335105,23.68040252,16.51569688,10.18706748,18.71213572,31.85022356,32.51802844,18.46376542,14.33568608,17.88654775,26.84175274,32.00703214,17.53142688,27.31666595,18.97991953
K01673_carbonic anhydrase [EC:4.2.1.1],85.76041198,77.82318771,55.28063966,51.68769963,11.19579033,14.74913558,38.24003607,24.08722671,19.57892425,20.39007878,20.32334912,27.94110559,26.46632149,93.51650918,40.13847652
K01674_carbonic anhydrase [EC:4.2.1.1],234.6158359,299.7239973,217.9386458,223.4143088,316.5493791,487.5304624,449.8361333,455.4996163,502.5509414,415.5817739,416.0286244,442.0135963,428.5538388,234.6179995,158.4448773
"K01676_fumarate hydratase, class I [EC:4.2.1.2]",8.369709132,9.702399795,7.215597701,7.085880772,17.79172184,8.982342429,1.71982474,11.65074315,12.81779632,4.353825242,6.930241412,4.744532205,0,4.741479683,6.315360091
"K01679_fumarate hydratase, class II [EC:4.2.1.2]",0.719775946,7.272314734,1.937441435,12.88292023,11.71955361,14.84539834,4.829706131,8.472176584,22.94854621,34.55644548,18.41977158,30.22892999,8.203429222,5.557658857,4.440336883
K01681_aconitate hydratase [EC:4.2.1.3],0,0,0.495704498,0,0,0.461030827,4.012932153,3.006624419,0.604923414,5.233343464,3.578804004,3.3910722,1.399260106,0,0
K01682_aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],176.4071361,167.0238753,150.3649451,157.1282145,95.39059576,99.13251882,141.927768,84.62477975,82.23338403,63.54010239,67.75301337,84.99404438,125.8621459,103.6136467,204.1557533
K01689_enolase [EC:4.2.1.11],624.0135163,437.531753,644.5696489,450.9255079,402.7626349,400.7609134,478.7608475,433.767636,365.4075836,348.890807,298.0502709,364.5436635,384.8127811,357.0000716,529.298149
K01692_enoyl-CoA hydratase [EC:4.2.1.17],25.71002617,26.33558422,14.8575064,22.70612053,8.663329916,2.90717649,10.15100231,4.869642079,1.827372683,19.20073765,7.002460125,9.926317103,29.8667336,8.650973427,23.471404
K01694_tryptophan synthase [EC:4.2.1.20],3.417309743,0.756016192,0.525939486,1.822928048,0.762853005,3.424056513,8.988471108,1.993756498,4.492740685,7.71186929,1.380759814,4.397442103,0.989737696,1.291351465,1.205377595
K01696_tryptophan synthase beta chain [EC:4.2.1.20],7.116716712,7.476263309,5.425258795,3.732690717,0,8.354391561,6.059899637,6.948640653,12.5227531,11.95038598,7.835313387,3.85756852,13.60499438,2.911570027,58.9592259
K01697_cystathionine beta-synthase [EC:4.2.1.22],54.37109948,50.84486729,57.10419072,58.05584134,15.64047288,26.37160951,53.5144016,53.32304658,41.43101609,22.87673219,50.29589541,30.71810987,39.01804605,63.19638745,40.67938731
"K01710_dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",69.81648188,83.56293365,69.53761829,46.01459603,47.96075994,40.22239821,31.76756785,61.54366189,24.2001504,16.09946064,24.43836474,21.5042823,57.0470186,76.24635512,69.77229146
"K01711_GDPmannose 4,6-dehydratase [EC:4.2.1.47]",51.59992988,72.47909263,90.30745597,48.7920922,40.67110225,24.13202485,24.73811215,40.93678659,33.59379317,22.16798176,21.29307622,30.31197916,21.96170875,22.74284007,62.20497387
K01714_4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],10.38861377,14.50743323,17.25241764,25.49173289,16.51089984,11.03576116,26.27477693,9.634340315,22.67160895,13.30832442,18.5497106,12.25277873,19.68775628,9.964778814,12.35332516
K01719_uroporphyrinogen-III synthase [EC:4.2.1.75],0,0,0,0,0,16.76367576,0,0,0.458245747,1.761954824,2.957498441,0,0,0,0
K01733_threonine synthase [EC:4.2.3.1],115.5565254,86.15098758,103.4249518,63.25582233,65.89839298,69.48237863,66.11739269,102.8842137,98.7125305,126.5484974,89.48394224,94.81517527,78.3761509,73.27835659,62.78863237
K01735_3-dehydroquinate synthase [EC:4.2.3.4],444.4709397,274.7018621,560.6560485,358.0265666,196.766553,535.2096819,459.9358383,447.0117035,394.1199073,403.4420254,416.7454861,442.874461,393.2292564,345.7389894,889.0101152
K01736_chorismate synthase [EC:4.2.3.5],42.16639931,47.57166659,21.53476409,14.71509294,31.78748372,8.607849828,7.710391277,13.45262926,25.3621483,9.35562128,12.98178699,15.14152005,14.94387857,14.68119075,15.56237377
K01738_cysteine synthase A [EC:2.5.1.47],1.147455711,3.807798366,0.44149661,0.765122771,12.3423312,16.29491971,11.07761049,11.14824686,13.5231738,22.74919442,7.253339214,6.294817382,10.9713171,3.126627742,4.553310056
K01740_O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],97.15294162,147.8923862,176.4191403,169.1250756,171.2812675,102.904309,146.2355834,166.2711931,177.2604625,209.453442,175.7123311,209.5001927,166.1897362,177.2556361,138.4794748
K01744_aspartate ammonia-lyase [EC:4.3.1.1],0,3.498221263,0,1.532487167,3.529856413,3.772313796,1.143808761,1.313174383,3.250744152,9.416581914,9.425244977,6.332631855,7.632820324,31.77598779,2.101428582
K01749_hydroxymethylbilane synthase [EC:2.5.1.61],2.195012014,0,0.844555789,0,0,11.38389944,4.311292123,6.569188751,12.63487627,6.085347013,10.75453759,1.433872227,11.23849062,8.150878783,3.016452051
K01754_threonine dehydratase [EC:4.3.1.19],0,2.390451196,0,1.601090243,0,0,0.997217179,2.101356055,8.455725099,3.251226164,1.455277011,0,1.043152111,0,0
K01755_argininosuccinate lyase [EC:4.3.2.1],89.30608432,138.1638971,86.53028819,43.4440421,43.59322481,41.01520251,52.57457382,40.12215551,25.54737267,44.74084741,33.76882801,36.20941834,47.06728096,27.67295142,56.06339267
K01756_adenylosuccinate lyase [EC:4.3.2.2],64.04154748,81.99574124,69.08824541,32.56842278,45.15478976,60.50621535,30.46055589,36.23744688,29.12642887,36.91683755,38.46312933,31.99284746,46.20978662,132.2903209,86.37150475
K01760_cystathionine beta-lyase [EC:4.4.1.8],0.844313923,0.933943723,7.146906057,4.503904089,0,0,2.337662596,0,0,1.905369752,2.985010055,0.987704543,1.222671311,0,0
K01768_adenylate cyclase [EC:4.6.1.1],32.83700615,21.73305773,16.77135735,13.60464579,14.96281384,6.324259361,14.95074357,16.10598272,30.86699002,30.73328232,24.91494365,20.49015639,27.7519321,37.88090942,5.893028145
K01771_1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13],11.99898446,9.006515839,11.21209616,6.476931635,7.653022025,11.0412312,7.118944166,7.500591017,5.23153077,6.576134508,5.194473183,9.023646325,4.344004541,12.41518387,16.62715383
K01772_ferrochelatase [EC:4.99.1.1],0,0,0,2.475305161,0,0,8.672118718,4.060902805,1.960898213,3.769826657,4.218517715,11.39950413,0,3.50698312,0
K01783_ribulose-phosphate 3-epimerase [EC:5.1.3.1],16.60571286,33.81732014,38.44196146,14.27557646,26.25423331,18.20371369,47.14888913,23.15978698,42.08718175,21.79100495,33.43933597,48.44531155,31.15748177,21.50787492,32.12323829
K01784_UDP-glucose 4-epimerase [EC:5.1.3.2],16.47356242,18.37359031,13.70661919,17.46431854,13.24010758,19.15182059,9.363465537,20.10554823,14.00174262,17.03815791,13.1593752,16.08425856,32.07756888,5.605254617,22.4568581
K01792_glucose-6-phosphate 1-epimerase [EC:5.1.3.15],61.09480072,9.901035804,79.97642818,20.69624685,37.34042553,67.89572542,34.14082535,33.31959235,39.7383969,43.51905404,34.52322597,37.86081367,36.08165149,14.22185083,51.50148324
K01795_poly(beta-D-mannuronate) C5 epimerase [EC:5.1.3.-],9.53734642,3.077025621,11.00880689,6.00619142,2.661301551,14.52093572,15.45924762,5.970765022,8.285398763,3.498523034,2.719680661,2.371416625,14.89109582,1.001117773,39.94845116
K01796_alpha-methylacyl-CoA racemase [EC:5.1.99.4],0,0,0,0,1.295484387,0,0,0.677163332,0,0,0,0,0,0.730995203,0
K01800_maleylacetoacetate isomerase [EC:5.2.1.2],16.92174228,4.672823482,10.27260528,2.682677801,4.06854936,32.16947928,35.32311453,2.126673598,8.546221516,9.315500549,6.132630027,8.528372564,2.639300522,3.800786227,3.214340254
K01802_peptidylprolyl isomerase [EC:5.2.1.8],82.63181805,83.04787743,47.39361912,89.37121807,59.02597115,123.4215118,76.60593915,113.8676594,98.63688708,83.55491735,58.60305628,64.23993593,60.81361501,54.29050553,71.85479297
K01803_triosephosphate isomerase (TIM) [EC:5.3.1.1],150.0239103,167.7843778,164.2761122,145.7890072,96.53192123,282.8717727,222.3669046,193.2429868,156.4652766,157.7146699,126.5568337,102.5927979,191.8633137,103.6137665,144.7890863
K01805_xylose isomerase [EC:5.3.1.5],74.61930579,121.842132,96.41726639,110.6797047,60.28723353,57.39726244,80.19158527,69.19274327,32.85134381,31.08247096,19.89028908,52.286754,54.97306752,82.94022973,139.2700961
K01811_alpha-D-xyloside xylohydrolase [EC:3.2.1.177],3.531663298,3.90657394,0,0,0,0,0,0,3.316486731,0,0,0,0,7.784956692,0
K01823_isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2],0.649239963,6.463451733,3.996839127,9.235473334,1.449311574,4.181925552,2.696338295,6.060563386,6.401673423,5.860579352,4.262774935,6.076007921,1.410270021,3.271177388,2.290044988
K01829_protein disulfide-isomerase [EC:5.3.4.1],44.34222449,10.66069428,15.26647923,21.84012168,6.493700946,42.95517884,33.76581778,19.6390734,35.89747298,14.01622292,26.2687928,13.33417908,26.96630099,16.2985464,17.51268243
K01830_prostaglandin-H2 D-isomerase [EC:5.3.99.2],4.504404306,27.98410739,9.050316744,0,15.08013846,14.32397874,6.926646336,4.086871092,0.469866092,0,0,0,7.065914986,5.042013218,4.589696334
"K01834_2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",78.04004415,78.41207881,93.51081488,56.05769254,72.53899725,102.105057,98.8405333,89.61254819,64.96260032,69.67324928,67.81962795,76.28388477,84.38039179,109.2396287,76.85321541
K01835_phosphoglucomutase [EC:5.4.2.2],183.6177909,150.1871583,169.8751864,140.3948974,77.10202926,80.8560201,143.6588503,77.79418292,96.58848398,93.32587087,78.54284647,61.13649684,116.4051735,102.6316993,165.4713453
K01836_phosphoacetylglucosamine mutase [EC:5.4.2.3],1.815274935,2.399550574,3.883412448,0.629445774,0.790225266,20.18955585,7.652163913,23.97807893,15.03557199,10.60212679,2.933909969,3.068567655,4.495212592,9.98092867,0.624314137
K01840_phosphomannomutase [EC:5.4.2.8],13.16729472,34.40267742,18.0190954,33.7874131,9.789029563,36.80536971,37.35599568,33.47921363,35.94662905,36.60307681,9.865470308,10.21165586,27.25229479,52.47608725,10.4565649
K01841_phosphoenolpyruvate phosphomutase [EC:5.4.2.9],1.265882103,0.70013215,0,0.562726278,7.396714374,6.514550643,1.649284212,10.67530128,5.077948158,5.028834064,0.564083993,1.611461407,11.52366434,42.88959806,7.567417367
"K01845_glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",17.20792668,30.93123495,17.78538521,34.41659887,11.76875516,24.32421072,16.10455011,34.86223329,40.84840322,29.09353166,29.88442121,10.47968333,32.52837005,12.46684308,29.13964517
K01854_UDP-galactopyranose mutase [EC:5.4.99.9],52.30718658,48.9142179,25.62262344,28.19582824,34.34105651,73.96867814,48.93623955,62.67415575,71.36891895,101.2763329,54.78603833,49.93583611,48.82377085,37.48499107,45.43781871
K01858_myo-inositol-1-phosphate synthase [EC:5.5.1.4],186.9277015,166.4857255,276.9305518,196.4364878,57.0858141,112.8866826,80.7764705,42.7860365,124.5322337,79.77959971,193.3165511,144.4168058,229.3458613,51.80603411,404.8775244
K01866_tyrosyl-tRNA synthetase [EC:6.1.1.1],6.465805646,3.333930985,0.62194803,9.264318534,5.381891515,12.53166938,0,4.744997543,8.693191383,3.346850463,2.923670845,2.602407805,9.733777051,24.42955255,5.231181197
K01867_tryptophanyl-tRNA synthetase [EC:6.1.1.2],11.81241152,12.86739316,15.8380555,12.13925156,8.338807517,24.85821696,25.28729327,10.5128734,7.663400946,5.749181138,14.14568686,12.89398865,10.20015972,10.60853036,12.04603134
K01868_threonyl-tRNA synthetase [EC:6.1.1.3],9.297182767,1.600841265,10.20860457,0,15.39461209,9.808524366,6.329196962,3.326267122,2.676938097,8.560771839,11.86114694,15.5319636,11.16159637,0.731931176,15.35272533
K01869_leucyl-tRNA synthetase [EC:6.1.1.4],2.556725261,41.40196495,7.214013156,6.198881234,4.56518929,8.953523909,6.124924459,9.297936215,2.041345075,1.923260548,2.626226337,4.486404441,4.535433142,8.137976523,4.207329847
K01870_isoleucyl-tRNA synthetase [EC:6.1.1.5],4.599383787,8.328522005,7.601856891,7.961941756,5.189176962,12.29507457,8.663012727,12.70566521,13.15954694,6.157932565,10.85352464,8.201528915,20.69790395,32.01458593,18.21785537
K01872_alanyl-tRNA synthetase [EC:6.1.1.7],18.13567061,10.58825679,15.11121217,17.58772726,11.63669395,11.93088154,4.991677487,14.77586986,12.25004037,5.449710578,7.356043843,13.01375903,21.74714066,23.10641129,4.051027712
K01873_valyl-tRNA synthetase [EC:6.1.1.9],0,0,0,0.78268621,0,1.890181675,8.530994682,2.054478083,0.826709108,1.986685241,1.778515066,3.089570468,0,1.108900579,0
K01874_methionyl-tRNA synthetase [EC:6.1.1.10],0,2.949748304,0.620015657,0.650765712,3.799932654,3.365965376,7.425107944,1.489471117,0.34368431,3.374740706,2.578802709,1.728904292,0,18.67769461,1.065739978
K01875_seryl-tRNA synthetase [EC:6.1.1.11],8.455252865,6.037242025,5.801715884,4.284421616,5.149790025,7.708311857,5.953982299,11.34137077,7.182272099,21.27630081,8.864917237,9.721947544,13.66838709,6.062779682,3.503543051
K01876_aspartyl-tRNA synthetase [EC:6.1.1.12],41.85966617,25.300154,23.56238974,25.1394147,23.08617087,12.23737126,5.638094553,11.59783161,20.66636174,9.538577755,13.90801531,9.722098696,25.22981808,31.49007447,30.97915999
K01880_glycyl-tRNA synthetase [EC:6.1.1.14],14.18181342,32.49105287,4.78731828,7.300402398,0,9.41117624,4.050287958,11.87690239,11.63490213,11.58289368,5.7118387,5.055931534,8.561191029,4.653837174,17.20235401
K01881_prolyl-tRNA synthetase [EC:6.1.1.15],0.99358234,5.495290106,2.676044588,1.325040202,6.653982204,0.71110283,0.687735985,1.159368858,0.699784146,4.260227388,4.014557271,5.230455095,2.158245747,8.760739441,7.009267417
K01883_cysteinyl-tRNA synthetase [EC:6.1.1.16],14.41817247,0,1.453585093,1.508849497,1.054181884,8.164364745,7.31380262,34.19893305,2.037179736,0.426279393,0.477015878,6.957266743,14.89532987,13.85877526,3.825948765
K01885_glutamyl-tRNA synthetase [EC:6.1.1.17],0.803218998,3.109701999,2.64527969,2.856458345,0,4.5988845,1.978953251,2.811725978,3.017122442,7.250522065,1.849655491,2.349076071,1.325845193,0,2.521136895
K01886_glutaminyl-tRNA synthetase [EC:6.1.1.18],19.31273604,5.844113761,26.60374867,14.04145698,7.382663799,11.19531914,6.472190534,16.97356375,20.88612965,9.573581938,20.98603892,12.99119304,16.34886686,20.19702164,9.478338406
K01887_arginyl-tRNA synthetase [EC:6.1.1.19],8.559410263,28.40142436,7.498975065,17.52995467,22.27241883,8.907640851,17.85975702,10.89949589,10.45687135,4.341782125,10.6002166,6.083070937,4.639489258,31.06688762,7.838930637
K01889_phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20],20.58979609,7.554451339,26.42264613,12.35032549,6.956482258,9.337057597,12.82136373,12.37790016,8.163531812,6.90062837,17.91560901,9.011453629,4.048372669,29.59341245,5.328705471
K01890_phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20],60.59783342,43.91235306,58.36885677,23.30911733,57.69436595,67.97300552,77.39438583,63.61616663,45.19944997,48.14064892,71.24841541,82.58944795,61.80379481,77.50674333,65.10395711
K01892_histidyl-tRNA synthetase [EC:6.1.1.21],5.726419354,2.375369485,2.20330485,0,4.793700902,0,0,2.505717946,0,9.692141089,1.446095452,0,4.146282839,0,7.574486339
K01893_asparaginyl-tRNA synthetase [EC:6.1.1.22],52.63814434,43.71090431,40.60071264,43.18690922,27.40392905,27.92018805,29.65400734,42.80279267,27.6202274,25.30131671,45.61645091,24.28494863,46.43302354,21.26347276,38.33247281
K01895_acetyl-CoA synthetase [EC:6.2.1.1],23.12433905,13.35158314,28.0133831,35.05764662,20.63002005,22.02969356,42.39277009,26.23045683,42.79386362,16.28584432,27.20516069,16.23390865,32.44660888,8.809035282,22.25480474
K01897_long-chain acyl-CoA synthetase [EC:6.2.1.3],452.9749368,329.0167668,451.7566872,332.0313257,268.4847397,211.5650756,239.5832836,261.3265187,246.2062942,204.5819726,250.9770444,177.5595913,247.2000606,759.2604188,357.0254773
K01899_succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5],29.8516031,57.27764366,21.29265364,38.76112135,12.80951118,20.72773155,36.97531706,19.54736586,31.11361577,19.10936702,16.21176193,22.75806437,32.03571318,9.21932786,37.45777528
K01900_succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5],15.42101292,7.87758327,6.963568531,6.855148031,8.426635042,6.003626947,7.313600219,15.55717762,4.961149426,5.373114857,3.894275861,8.341173998,2.429522477,2.641581555,10.12618259
K01903_succinyl-CoA synthetase beta subunit [EC:6.2.1.5],34.10914717,44.42832814,34.4728968,27.4266197,10.72195722,32.04372427,26.64289802,44.87425643,16.80849151,12.95279944,11.6328863,17.16479075,26.3727678,48.44756374,27.22478313
K01915_glutamine synthetase [EC:6.3.1.2],697.8072437,835.6658637,675.5262762,885.8076386,616.6801337,786.5253443,807.2448399,961.2267538,625.5230835,656.7077802,607.410579,642.9106608,598.4554697,794.4866816,670.8470551
K01918_pantoate--beta-alanine ligase [EC:6.3.2.1],0,0.975694366,0,0,0,0,0,0,0,0,0,0,0,0,0
K01920_glutathione synthase [EC:6.3.2.3],5.987054536,1.32452441,1.612511036,1.996082163,1.336502362,0.642736579,1.036027082,0.873254825,0.140556908,0.135110322,0.75595689,0.700384158,0.433499888,0.75414017,0.527949026
K01921_D-alanine-D-alanine ligase [EC:6.3.2.4],292.2190932,170.6803583,247.331828,155.2013207,117.0059261,190.5797706,170.2292386,187.2815482,231.4223947,277.9971249,223.3672895,216.1860455,190.159276,176.02775,324.7935118
K01923_phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],554.5762868,912.2502422,609.5172786,559.7189258,610.1926896,515.8298285,482.3706423,661.2442917,470.168998,753.0932468,512.890875,592.6003939,562.9063777,530.0330749,643.7813764
K01929_UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10],0,0,0,0.190768199,1.308874406,7.635541412,3.246753606,13.93362307,2.202421421,10.05611814,1.618014568,0.685905933,3.70703536,0,0
K01931_protein neuralized [EC:6.3.2.19],0,0.810322439,0,0,0.817650356,1.57286304,0,0.427394452,5.847348882,2.314432185,1.479942723,0.856967219,0,0,0
K01933_phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],23.25031346,25.03319833,15.52207018,24.74451597,24.09806878,24.6730805,7.332736687,13.85663576,13.41136821,24.9759348,37.27208267,24.29523214,24.16638574,3.132194707,27.51885705
K01937_CTP synthase [EC:6.3.4.2],0,6.465974548,10.92998357,14.08905745,14.02291986,0,4.014356694,0,1.996105597,1.788489415,0.732287953,5.088413982,1.539076885,9.371118829,5.114189924
K01938_formate--tetrahydrofolate ligase [EC:6.3.4.3],4.348007466,6.782557228,3.961100809,9.869198902,3.283995888,16.93297714,24.3660514,20.60119511,50.48999681,39.29664124,36.40989836,21.82353578,46.55329927,17.64346998,2.010981716
K01939_adenylosuccinate synthase [EC:6.3.4.4],13.25397253,3.932525726,34.37813519,9.042263371,2.022093394,2.815218072,4.48027543,6.237793683,5.753567677,6.67189734,12.51326614,3.123762435,6.558740817,0.90459325,11.65060398
K01940_argininosuccinate synthase [EC:6.3.4.5],17.27582753,20.50632817,11.3030616,25.89831205,9.482158981,41.15900588,26.67696723,47.08050418,48.73379809,30.99083541,31.08639258,14.65929889,24.42967664,7.886990732,17.44854178
K01945_phosphoribosylamine--glycine ligase [EC:6.3.4.13],3.786673938,0,5.439623344,2.513861316,4.733966311,4.408387979,3.914310422,8.940524892,9.897335582,7.246713227,9.192886472,0.826933321,18.86333281,12.24215808,1.246683369
K01950_NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1],6.48641653,7.079413159,2.686337067,5.98707759,2.597612284,0.832810815,10.70204666,11.05732596,4.219490545,7.732371625,3.526248141,9.825328232,14.56520004,0.732869549,15.83876564
K01951_GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],115.8935448,76.94193788,43.15588125,85.90944351,52.90329584,64.68416375,56.40427779,38.7640405,55.72733633,53.03608785,52.29497745,50.29556396,71.3020295,65.06314066,64.73829095
K01952_phosphoribosylformylglycinamidine synthase [EC:6.3.5.3],57.30728297,45.43262504,64.44329644,68.57426778,76.42791007,59.44899418,61.61961771,64.480868,118.6609325,111.9643324,85.82173949,103.9225292,107.9847214,97.03322718,38.68126113
K01953_asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],7.406714193,25.91841926,9.377564237,8.058464678,7.372341252,28.47028753,11.14733902,14.57432109,32.22462001,17.09501791,27.71225689,21.00948782,25.32324509,31.85749283,4.420147335
K01954_carbamoyl-phosphate synthase [EC:6.3.5.5],11.34088619,11.26842724,13.55630249,16.3510397,15.94370932,2.349422404,10.61754874,10.16650742,11.70066545,24.9295012,14.16474556,27.30258694,8.98983012,6.570152482,14.98645617
